|text|type
0|"DECEPTION
Written by
Mark Bomback & Patrick Marber
September 15th,  2005"|unknown
1|EXT. MANHATTAN - LATE NIGHT|location
2|INT. A CONFERENCE ROOM (RUTHERFORD STERN)                       - LATE NIGHT|location
3|INT. RUTHERFORD STERN LAW OFFICES - LATE NIGHT|location
4|INT. TIMES SQUARE SUBWAY STATION - LATE NIGHT|location
5|EXT. BROOKLYN - LATE NIGHT|location
6|INT. JONATHAN'S APARTMENT - LATE NIGHT|location
7|INT. JONATHAN'S BEDROOM|location
8|INT. RUTHERFORD STERN LAW OFFICES - COFFEE LOUNGE - MORNING|location
9|INT. RUTHERFORD STERN CORRIDORS - MORNING|location
10|INT. CONFERENCE ROOM - MORNING .|location
11|INT. MEN'S WASHROOM -- DAY|location
12|INT. CONFERENCE ROOM - DAY|location
13|INT. CONFERENCE ROOM - NIGHT|location
14|MALE VOICE   (O.S.)|unknown
15|JONATHAN|stage direction
16|"WYATT
By the clock on the wall there? You've"|stage direction
17|EXT. MIDTOWN - STREET - LATE NIGHT|location
18|INT. TIMES SQUARE SUBWAY STATION - LATE NIGHT|location
19|INT. SUBWAY PLATFORM -- SHORT TIME LATER|location
20|INT. SUBWAY CAR - LATER|location
21|INT. RUTHERFORD STERN - COFFEE LOUNGE - MORNING|location
22|INT. RUTHERFORD STERN - DAY|location
23|INT. MANHATTAN RACKET CLUB - DAY|location
24|INT. RACKET CLUB LOUNGE|location
25|INT. LOCKER ROOK!|location
26|INT. WYATT'S BUILDING - EARLY EVENING|location
27|INT. WYATT'S APARTMENT|location
28|INT. THE VELVET ROPE - NIGHT|location
29|INT. TAXI CAB - LATE NIGHT|location
30|EXT. TIMES SQUARE SUBWAY - LATER|location
31|INT. CLANCEY INVESTMENTS - A CONFERENCE ROOM - MORNING|location
32|INT. CLANCEY CONFERENCE ROOM - DAY|location
33|EXT. ROCKEFELLER CENTER - DAY|location
34|INT. CLANCEY INVESTMENTS - CONFERENCE ROOM - LATER|location
35|INT. CLANCEY BUILDING - ELEVATOR - NIGHT|location
36|EXT. TIMES SQUARE - NIGHT|location
37|INT. SUBWAY STATION|location
38|INT. TAXI CAB - NIGHT|location
39|INT. PLAZA HOTEL - LOBBY - NIGHT|location
40|INT. PLAZA - ELEVATOR|location
41|INT. PLAZA -- A ROOM - LATER|location
42|INT. PLAZA - THE', ROOM - EARLY MORNING|location
43|INT. PLAZA - RECEPTION DESK - MORNING|location
44|Sir, I'm showing that room as having|location
45|EXT. CENTRAL PARK SOUTH - MORNING|location
46|INT. CLANCEY INVESTMENTS - DAY|location
47|"BRITISH ACCENT                             (V.0.)
I think you've got the wrong number. Now"|stage direction
48|INT. THE MERCER HOTEL - LOBBY - NIGHT|location
49|and non-negotiable.. Three, no rough stuff   -|location
50|INT. MERCER HOTEL - HALLWAY - NIGHT|location
51|INT. MERCER HOTEL - HOTEL ROOM - NIGHT|location
52|INT. MERCER HOTEL - BEDROOM- LATE NIGHT|location
53|INT. CLANCEY INVESTMENTS                                        - CONFERENCE ROOM - LATE DAY|location
54|EXT. RHIGA ROYAL HOTEL - NIGHT|location
55|INT. THE BENJAMIN - LOBBY - NIGHT|location
56|INT. THE REGENCY - A ROOM - NIGHT|location
57|INT. CLANCEY INVESTMENT SERVICES - CONFERENCE ROOM - DAY|location
58|INT. THE DRAKE                                                  - LOBBY - NIGHT|location
59|INT. THE DRAKE - ROOM - MORNING|location
60|INT. WEISS MURPHY INSURANCE - COPY ROOM - DAY|location
61|INT. THE MARK - ROOM -- LATE NIGHT|location
62|INT. THE FITZPATRICK - SUNDRY SHOP                              - MORNING|location
63|INT. WEISS MURPHY INSURANCE - CORRIDOR DAY|location
64|"INT. HOTEL ELYSEE - THE ""CLUB ROOM""                             - NIGHT"|location
65|INT. THE PARAMOUNT - HOTEL ROOM - NIGHT|location
66|INT. THE PENINSULA - HEALTH CLUB - MORNING|location
67|EXT. BROOKLYN - JONATHAN'S APARTMENT - NIGHT|location
68|INT. THE HUDSON HOTEL - LOBBY -- LATE NIGHT|location
69|He doesn't breathe. Utterly stunned, he turns to confirm...|stage direction
70|INT. THE HUDSON - ELEVATOR|location
71|INT. HOTEL ROOM|location
72|INT. HOTEL CORRIDOR - PRE-DAWN|location
73|INT. HOTEL ROOM|location
74|(CONTINUED)|unknown
75|INT. THE HUDSON - HOTEL ROOM - MORNING|location
76|INT. WEISS MURPHY INSURANCE - BUILDING LOBBY - DAY|location
77|INT. WEISS MURPHY INSURANCE - CONFERENCE ROOM - LATE DAY|location
78|EXT. STREET -- NIGHT|location
79|EXT. CHINATOWN - CANAL STREET - NIGHT|location
80|"I knew it. You look smashing.
JONATHAN
Sure you don't mean ""clashing?"""|stage direction
81|,/S„|stage direction
82|EXT. CHINATOWN -- AN ALLEY -- NIGHT|location
83|INT. A RESTAURANT - CHINATOWN - LATE NIGHT|location
84|EXT. CHINATOWN RESTAURANT - LATER|location
85|INT. HOTEL LOTUS                                                - ROOM - LATE NIGHT|location
86|INT. HALLWAY - LATE NIGHT|location
87|INT. HOTEL HALLWAY|location
88|INT. STAIRWELL|location
89|INT. HOTEL LOTUS -                                            5TH FLOOR HALLWAY - SHORT TIME LATER|location
90|INT. ROOM 517|location
91|INT. LOBBY - LATER|location
92|INT. POLICE PRECINCT - RUSSO'S DESK - LATER|location
93|I'd like to go now. Is that all right? Can|stage direction
94|EXT. JONATHAN'S APARTMENT - FIRE ESCAPE - MIDDLE OF NIGHT|location
95|INT. JONATHAN'S APARTMENT - BATHROOM - MIDDLE OF NIGHT|location
96|INT. JONATHAN'S BEDROOM|location
97|INT. JONATHAN'S BATHROOM - PRE-DAWN|location
98|INT. JONATHAN'S BEDROOM - DAWN|location
99|INT. SUBWAY CAR - DAY|location
100|EXT. CANAL STREET - DAY|location
101|INT. CHINESE MARKET - DAY|location
102|INT. JONATHAN'S APARTMENT|location
103|INT. NY MEDICAL EXAMINER'S OFFICE - LOBBY                       - AN HOUR LATER.|location
104|INT. M.E.'S OFFICE                                              - A RICKETY ELEVATOR|location
105|INT. MORGUE|location
106|EXT. MEDICAL EXAMINER BUILDING - SHORT TIME LATER|location
107|EXT. MORGUE/ STREET - NIGHT|location
