|character|text|type|character_clean|gender
0||"WILD THINGS
by
Stephen Peters
rewrite by
Kem Nunn"|unknown||
1||"MANDALAY ENTERTAINMENT                           January 21, 1997
1202 West Washington Blvd.
Culver City, CA 90232
FADE IN:
MAIN TITLE SEQUENCE -- BLACK
INTERCUT -- QUICK FLASH-FORWARDS
INSIDE A STEAMY SHOWER -- A wet naked woman and man wrapped
around each other in ecstasy -- legs, arms, hair, mouths.
BLACK -- MORE TITLES -- then
Moonlight reflects on a vehicle's shiny surface.  FISTS THUD into
flesh.  O.S. -- a man slams of the hood, rebounds away.
BLACK -- MORE TITLES -- then
LOVERS -- caught in FREEZE-FRAMES of green neon -- off, on, off,
on -- like a strobe's instant-images -- of gasping, tough sex.
BLACK -- MORE TITLES -- then
ON A GLEAMING POOL DECK of black-and-white tile -- two women in
soaked, clinging clothes -- fight -- hands squeeze a throat.
BLACK -- MORE TITLES -- then
A SCREAM -- a sickening hollow THWACK -- an arc of blood, two
teeth fall on dark stone.
BLACK -- MORE TITLES -- then
GUNSHOTS -- Blood sprays across the glass of a picture frame --
obscures the photo inside.
BLACK -- MORE TITLES -- then
THE SURFACE OF A SPARKLING SEA -- a distant emerald island.  A
40-foot sloop APPEARS -- shapes on deck -- we are about to SEE --
BLACK -- MORE TITLES -- then
SHARKS -- underwater -- rip something into a bloody cloud.
END MAIN TITLES."|stage direction||
2||FADE TO:|unknown||
3||EXT. BLUE BAY SCHOOL - DAY|location||
4||"A place of money and privilege.  White coral buildings surround
an open yard.  Tile roofs rise among banyan trees and banana
palms, shimmering before a blue blaze of sky.
Beyond the yard is the school's playing field and beyond that the
waters of Biscayne Bay, dappled in sunlight where the sloops of
the school's sailing class bob at their moorings.
For a moment all is quiet.  Then, faintly, the HUM of many
VOICES, rising and falling, LAUGHTER.
The CAMERA PANS to the open windows of a building somewhat larger
than the others.  The SOUNDS grow louder."|stage direction||
5||INT. BLUE BAY AUDITORIUM - DAY|location||
6||"A hundred high school kids sit before a raised, hardwood stage.
The students are not unlike the campus, radiant, well-tended -- a
veritable sea of adolescent sexuality -- bronze boys who seem to
have just come from the boats or tennis courts -- girls in tight
shorts riding high up shapely thighs, as...
SAM LOMBARDO strolls out onto the stage.  The man is thirtyish,
drop-dead handsome.  Dressed not that differently from the kids,
in an Izod polo shirt, khakis and boat shoes.
His entrance has an effect upon the audience, particularly upon
the girls.
KAREN and JANELLE, 16, pretty blondes, whisper then giggle.
NICOLE, a dark-eyed beauty, 17 but going on 25, watches Sam's
walk, then turns to the girl at her side...
KELLY VAN RYAN, 17, a fully-developed knockout."|stage direction||
7|NICOLE|"When we graduate the only thing I'm
going to miss is..."|speech|NICOLE|F
8||(with a nod to the stage)|location||
9|NICOLE|Know what I mean?|speech|NICOLE|F
10||Kelly's eyes are locked on Sam.  Nicole has to nudge her.|stage direction||
11|NICOLE (CONT'D)|Kelly?|speech|NICOLE|F
12||(still staring)|location||
13|KELLY|Oh yeah.|speech|KELLY|F
14||"Sam is at the podium.  He looks out across the audience.  There
are a couple of flirtatious whistles, laughter.  Sam smiles,
silencing them with a wave of his hand."|stage direction||
15|SAM|"We've come to the halfway point in my
senior seminars..."|speech|SAM|M
16||Cheers, applause.  Sam waits for the kids to settle.|stage direction||
17|SAM (CONT'D)|Come on.  Beats study hall, doesn't it?|speech|SAM|M
18|JIMMY (O.S.)|No!|speech|JIMMY|M
19||"Boos as we FIND...
JIMMY LEACH, 18, grumge look, long hair.  He sits with a clique
of white trashy types, or at least what passes for such at Blue
Bay School.  Jimmy appears a bit more genuine, as does...
SUZlE TOLLER, a boyish brunette, seated nearby, but with just
enough space between her and everyone else to mark her as a
loner.  She studies Sam Lombardo with a dark, sullen stare."|stage direction||
20|SAM|Thank you, Jimmy.|speech|SAM|M
21|JIMMY|"Hey, man, at least in study hail I could
meditate."|speech|JIMMY|M
22|KIRK (O.S.)|He means masturbate...|speech|KIRK|F
23||"This remark is greeted by a chorus of laughter as we FIND...
KIRK, one of the golden boys, seated with Kelly and Nicole."|stage direction||
24|SAM|"Something Kirk with which I'm sure you
have hands-on experience."|speech|SAM|M
25||"Loud laughter.  Sam quiets them again, then turns to the
blackboard, where he begins to write, in big letters -- S-E-X.
The kids start to cheer.
Sam writes another word -- C-R-I-M-E-S.
The cheering fades into silence."|stage direction||
26|SAM (CONT'D)|"We've all heard the words, date rape,
sexual harassment.  We've talked about
some of these things in this room."|speech|SAM|M
27||(beat)|location||
28|SAM (CONT'D)|"Our speakers today head up the Blue Bay
Police Sex Crimes Unit -- Detectives Ray
Duquette and Gloria Perez."|speech|SAM|M
29||(beat)|location||
30|SAM (CONT'D)|"They're here to give you what we hope
will be a fresh perspective on these
subjects, and to answer any questions
you night have."|speech|SAM|M
31||"Sam turns to the wings, his hand out to welcome the visitors...
RAY DUQUETTE, mid-thirties, with the lanky build of a light
heavyweight, walks out onto the stage.  He's dressed in a dark
suit, dark hair combed straight back above steel-rimmed glasses.
GLORIA PEREZ walks at his side.  She's a good six inches shorter
than Ray, with a sweet face.  Attractive but no stunner.
About five kids applaud.  Ray takes the podium."|stage direction||
32|RAY|"Thank you for having us.  We'll each
talk for ten or fifteen minutes, then
open it up to your questions..."|speech|RAY|M
33||"IN THE AUDIENCE
Suzie Toller suddenly gets to her feet.  As she passes behind
Jimmy, we HEAR her VOICE, beneath her breath."|stage direction||
34|SUZIE|"I'm not going to listen to this
jack-off."|speech|SUZIE|F
35||"She marches down the aisle and bangs out the rear door..
Ray pauses, a dark look on his face, then goes on..."|stage direction||
36|RAY|"Let's begin with a question.  What is a
sex crime?"|speech|RAY|M
37||A moment.|stage direction||
38|JIMMY|Not getting any.|speech|JIMMY|M
39||"This draws a few laughs from the kids, a couple of thin smiles
from Sam and Gloria.  And none at all from Ray Duquette."|stage direction||
40||EXT. AUDITORIUM - DAY|location||
41||"The kids change classes.  Sam, Ray and Gloria CROSS the grass.
The kids swarm past.  A pair of girls flash by."|stage direction||
42|CAROLE|Have a nice weekend, Mr. Lombardo.|speech|CAROLE|?
43|SAM|Hey, Carole, you too.  And be good.|speech|SAM|M
44||(beneath a pouty look)|location||
45|CAROLE|I hate to be good.|speech|CAROLE|?
46||The three adults ENTER an old wooden building.|stage direction||
47||INT. BUILDING - DAY|location||
48|SAM|"This is one of the original buildings.
We have the offices here now."|speech|SAM|M
49||"The walls are paneled in wood, decorated with framed photographs.
Gloria stops before one of the photos.
ANGLE ON PHOTOGRAPH
An old black-and-white, with that sepia caste harkening back to
another age.
A handsome young man of perhaps 14 stands at the helm of a boat
under sail.  His hair is swept back, his eyes fixed upon an
unseen horizon.  There is something in this boy's pose, in the
line of his jaw, in the clarity of his gaze, as if what he has
fixed upon is the future itself."|stage direction||
50|GLORIA|Anybody in particular?|speech|GLORIA|F
51||"When no one answers, she turns to find Sam at her side.  He
stares at the picture, then looks at Gloria."|stage direction||
52|SAM|"Sam Lombardo.  The first.  Class of
'Forty-Two"|speech|SAM|M
53||(beat)|location||
54|SAM|My father.|speech|SAM|M
55||"Gloria does a slow double-take, looking from Sam to the photo and
back again."|stage direction||
56|VOICE (0.S.)|"Can't seem to get rid of the Lombardos
around here."|speech|VOICE|F
57||"Sam and the detectives turn as a professorial-looking guy in a
baggy brown suit (ART MADDOX) arrives on the scene."|stage direction||
58|SAM|"Art.  Say hello to Detectives Perez and
Duquette."|speech|SAM|M
59||(to the cops)|location||
60|SAM|Art Maddox. A fellow guidance counselor.|speech|SAM|M
61||Art and the detectives shake hands.|stage direction||
62|ART|"So, did you set 'em all straight on the
ugly facts of life?"|speech|ART|F
63|SAM|"I have the feeling, they got it down
already.  They're a step ahead of us,
Artie."|speech|SAM|M
64||"Gloria seems to find this amusing.  Ray stands at her side, looks
at Sam.  Sam feels it, makes eye contact with Ray -- a beat -- at
which point, Ray puts a hand on Gloria's back."|stage direction||
65|RAY|I've got that two o'clock in town.|speech|RAY|M
66||(nodding)|location||
67|GLORIA|Back to the land of grownups.|speech|GLORIA|F
68||The detectives shake hands once more with San and Art.|stage direction||
69||(to Gloria)|location||
70|SAM|"If old pictures interest you, come back
some time, there's quite a collection
down in the pagoda.  I'll see you get a
proper tour."|speech|SAM|M
71||(smiling)|location||
72|GLORIA|I'd like that.|speech|GLORIA|F
73||"Ray opens a door for her.  The detectives pass through it.
Art claps Sam on the shoulder, then walks off down the hallway.
Sam remains near the doors, watching as...
ANGLE ON THE DRIVE LEADING TO THE SCHOOL
Ray and Gloria walk past half a dozen expensive cars -- Range
Rovers, Beamers and Mercedes, to a plain, white Ford Taurus,
which they get into and drive away."|stage direction||
74||EXT. BLUE BAY SCHOOL - LATER|location||
75||"Cheerleaders perform a sensual dance on the porch of a wooden
pagoda.  A rugby team runs drills on the grass, as out on the
bay, six tiny racing sloops tack toward the docks.
ANGLE ON DOCKS
As the sloops enter the narrow channel between the slips one
student from each boat jumps onto the dock where he or she sets
about tying off the boat.
Sam is on one of the boats.  Jimmy Leach is at the rudder."|stage direction||
