|character|text|type|character_clean|gender
0||"RISE OF THE PLANET OF THE APES
Written by
Rick Jaffa & Amanda Silver"|unknown||
1||"Jamie Moss
January 8th, 2010"|unknown||
2|Previous revisions by|EYES. Expressive, alive. Human?|speech|Previous revisions by|?
3||No. They belong to a FEMALE CHIMPANZEE: BRIGHT EYES.|stage direction||
4||EXT. GROVE OF TREES -- DAY|location||
5|Previous revisions by|"She sits in a tree with ALPHA, her mate - large and muscular,
a PROMINENT WHITE BIRTHMARK ACROSS HIS SHOULDER, LIKE A
SHOOTING STAR.
Around them, under the TREE CANOPY, a COMMUNITY OF
CHIMPANZEES naps, eats, plays."|speech|Previous revisions by|?
6||EXT. WEST AFRICAN JUNGLE - DAY|location||
7|Previous revisions by|"A DOZEN POACHERS on horseback slog through the jungle.
They're working towards the GROVE, visible in the distance.
As they near it, the LEADER points, sending the MEN moving
quietly, NETS and RIFLES ready."|speech|Previous revisions by|?
8||EXT. CANOPY - DAY|location||
9|Previous revisions by|"Alpha sits up, sensing something. BIRDS take sudden flight.
He stands on the branch and YELLS OUT A WARNING. FEAR
ignites the community - but too late.
POACHERS BURST INTO THE CLEARING, horses' hooves kicking up
dirt. CHIMPS SCATTER.
Bright Eyes wants to stay by Alpha's side, but he bares his
teeth and sends her off.
Then he drops, landing firmly on the clearing floor. All
around him, POACHERS pursue terrified apes, nets swinging.
MALE CHIMPANZEES jump up and down, SHOUTING AND SCREECHING -
an aggressive show. A futile attempt to protect the tribe.
Alpha zeroes in on a POACHER attempting to scoop up a YOUNG
CHIMP. He streaks across the clearing, KNOCKS THE POACHER
FROM HIS MOUNT.
Alpha POUNDS his CHEST, letting out a BATTLE CRY -- trying to
rally a counter-attack.
But the other chimps pay no heed. There's no organization to
the defense. It's chaos.
SHOTS RING OUT. The Chimps mauling the Poacher drop, one by
one. Others take off.
2.
Alpha spots Bright Eyes across the clearing, dragged off in a
net. He RUSHES to save her, leaps in the air...
A SHOT RINGS OUT.
BRIGHT EYES WATCHES - HORRIFIED - AS ALPHA CRUMPLES IN THE
AIR AND FALLS TO THE GROUND. LIKE A STONE.
FADE TO WHITE
TWO FACES wearing SURGICAL MASKS lean in and peer down at us.
FRANKLIN - broken horn-rimmed glasses - and CAROLINE - curly
red hair under a sterile cap."|speech|Previous revisions by|?
10|CAROLINE|"Nanotherapy, beta version: Tuesday,
March 10, 2011. Female Test
subject Number four.
Franklin reaches for us, smiles..."|speech|CAROLINE|M
11|FRANKLIN|"Here we go, Bright eyes.
A MIST fogs our view for a moment."|speech|FRANKLIN|M
12|CAROLINE|"Not too much. She needs to be
calm, but alert.
VOICE THROUGH INTERCOM
Go ahead - send her through.
A LOUD HUM and we start moving, sliding into a tunnel a
tubular CT SCAN - with a MIRROR on the top.
Now WE SEE OUR FACE REFLECTED: A FEMALE APE IN A GAS MASK.
Bright Eyes."|speech|CAROLINE|M
13||INT. OBSERVATION ROOM - SAME|location||
14|CAROLINE|"WILL RODMAN - late twenties, lab coat over a T-shirt and
jeans - stands at the glass, watching the terrified
chimpanzee slide into the machine.
The focus in his eyes belies the casual dress."|speech|CAROLINE|M
15|WILL|"Start the scan.
A TECHIE sits at a computer screen beside Will.
3."|speech|WILL|M
16|TECHIE|Scanning.|speech|TECHIE|?
17||INT. WHITE ROOM -- DAY|location||
18|TECHIE|Another tech, DONNIE - skinny, tattooed - controls the|speech|TECHIE|?
19||machine, sending the restrained animal into the scanner.|stage direction||
20|TECHIE|"Caroline moves to an IV STAND beside the scan. The bag's
full of a PHOSPHORESCENT GREEN LIQUID."|speech|TECHIE|?
21|DONNIE|Stuff looks like Kool-aid.|speech|DONNIE|M
22|CAROLINE|"Go ahead, I'm sure you could use
it."|speech|CAROLINE|M
23|(OPENING VALVE)|Starting the therapy...|speech||
24||INT. OBSERVATION ROOM - SAME|location||
25|(OPENING VALVE)|"Will looks at a monitor showing the BRAIN SCAN OF THE CHIMP.
The image starts to shake. Concerned, he looks to the other
room - where he can see the CHIMP'S LEGS SHAKING IN THEIR
RESTRAINTS."|speech||
26|FRANKLIN|"She's convulsing.
Caroline sticks a stethoscope in the tube, listens to Bright
Eyes' heart."|speech|FRANKLIN|M
27|"WILL
(INTO INTERCOM)"|"Please keep the monkey still.
He focuses back on the monitor."|speech|WILL|M
28|CAROLINE (INTERCOM)|"She's not a monkey.
Will looks from the monitor to Caroline. His look is
intense, tough to read. She blushes slightly at the heat of
his gaze.
CAROLINE (INTERCOM) (CONT'D)
She's an ape. Chimpanzees,
gorillas and orangutans, they're
all apes.
4."|speech|CAROLINE|M
29|WILL|"Good to know. Just keep it from
moving.
She's stung, wonders, why does he have to be such a jerk
sometimes.
He's oblivious to this, instead intent on getting the scan
right. The green liquid moves through the chimp's neck..."|speech|WILL|M
30|TECHIE|"Here we go.
Will stares at the scan, his eyes willing the test to
succeed.. .the green liquid LIGHTS UP THE CHIMP'S BRAIN.
CHEER FROM THE GROUP.
Will fights a CONTRACTION OF EXTREME EMOTION that passes
across his face. He quickly hides it - offers up a smile for
the others."|speech|TECHIE|?
31|WILL|We're on our way.|speech|WILL|M
32|(BEAT)|Good work.|speech||
33||INT. WHITE ROOM - DAY|location||
34|CAROLINE|"What is this?
Caroline holds up a picture of a tree for Bright Eyes, who
sits at a table in front of a LEXIGRAM, a lit-up board with
colorful symbols.
Bright Eyes presses a button."|speech|CAROLINE|M
35|ELECTRONIC VOICE|"Tree.
SUPER: ""ONE MONTH LATER.""
Caroline holds up a picture of an acorn."|speech|ELECTRONIC VOICE|?
36|CAROLINE|"And this?
The chimp presses another button."|speech|CAROLINE|M
37|ELECTRONIC VOICE|"Acorn.
5."|speech|ELECTRONIC VOICE|?
38|CAROLINE|"Where does the acorn come from?
Bright Eyes considers... then presses a button."|speech|CAROLINE|M
39|ELECTRONIC VOICE|Acorn.|speech|ELECTRONIC VOICE|?
40|CAROLINE|"Yes, but where does the acorn come
from?"|speech|CAROLINE|M
41|ELECTRONIC VOICE|Acorn.|speech|ELECTRONIC VOICE|?
42|"CAROLINE
NO -"|Bright Eyes interrupts, now pressing three buttons.|speech|CAROLINENO -|?
43|ELECTRONIC VOICE|"Acorn. Tree. Acorn.
The chimp looks at Caroline, who's stunned, trying to process
the ADVANCED THINKING JUST MANIFESTED. Then she presses
another button.
ELECTRONIC VOICE (CONT'D)
Surprise.
The unnatural voice - paired with Bright Eyes' eerily human-
like gaze - is somehow CREEPY... The IMAGE FREEZES and we...
PULL BACK TO REVEAL: WILL'S OFFICE
Diplomas on the wall, books everywhere. Bright Eyes looks
out at Will from a computer screen. He's got two CT SCANS
sitting on the desk in front of him."|speech|ELECTRONIC VOICE|?
44|CAROLINE|"We started the therapy four weeks
ago. This was yesterday.
Will's studying the scans. They look good. Real good."|speech|CAROLINE|M
45|CAROLINE (CONT'D)|"There's been clear cell growth.
Both on the frontal lobe and the
neocortex.
She's purposely standing close in order to point this out.
He notices but doesn't respond - there's history between them
and he's regretting that - gets in the way.
6."|speech|CAROLINE|M
46|WILL|"I see that. But I don't understand
the primate behavioral norms. She
knows an acorn's a seed. Wouldn't
any monkey know that?"|speech|WILL|M
47|CAROLINE|"No - it's conceptual. Acorn gives
us a tree, which gives us an acorn."|speech|CAROLINE|M
48|WILL|Abstract thought...|speech|WILL|M
49|CAROLINE|"In a chimpanzee. Unheard of.
Will turns the possibilities over in his mind. Caroline
moves away from him. He barely notices her now."|speech|CAROLINE|M
50|CAROLINE (CONT'D)|"You're calling her a monkey just to
piss me off, aren't you?"|speech|CAROLINE|M
51|WILL|Start the other's on the 112.|speech|WILL|M
52|(BEAT)|And double this one's dose.|speech||
53||EXT. GEN-SYS LABORATORIES - DUSK|location||
54|(BEAT)|"Will climbs into his truck. Alone, he allows his excitement
to show. Abstract thought!
He pulls away from the BIO LAB, which is tucked in a corner
of an old military base."|speech||
55||EXT. GOLDEN GATE BRIDGE - DUSK (AERIAL)|location||
56||Will drives over the majestic Golden Gate Bridge.|stage direction||
57||EXT. WILL'S HOUSE - NIGHT|location||
58|(BEAT)|"Will pulls up in front of his house.
Set in a hillside neighborhood, it's neat, nondescript. The
home of a bachelor who hasn't given it much thought.
As Will pulls into the driveway, WE HEAR C SHARP PLAYED OVER
AND OVER ON A PIANO.
7."|speech||
59||INT. WILL'S HOUSE - NIGHT|location||
60|(BEAT)|"WALTER RODMAN, 60, sits at the piano dressed in a robe,
stabbing at the key with his finger.
Will enters, his posture almost visually changing with the
emotional weight of this man, his father."|speech||
61|WILL|"Hey Dad.
Walter looks up, whispers..."|speech|WILL|M
62|WALTER|John... is that you?|speech|WALTER|M
63|WILL|It's me. Will.|speech|WILL|M
64|WALTER|"As thou dost, Anthony.
(staring at the keys)
.he hears no music. No music..."|speech|WALTER|M
65|VOICE|"(heavy Russian accent)
He's been doing that all day.
A Home Aide enters, grabs her coat. This is IRENA."|speech|VOICE|M
66|IRENA|"He found an old book of his.
She pulls a worn paperback of Julius Caesar from Walter's
pocket. He snatches it from her, puts it back."|speech|IRENA|M
67|IRENA (CONT'D)|"(shrugging on coat)
I had no idea you liked Shakespeare
so much, Mr. Walter."|speech|IRENA|M
68|WILL|"My mother was the one. She liked
Shakespeare..."|speech|WILL|M
69|"IRENA
(KISSES HIM)"|"Good night, Walter, hone-ee.
She heads out. Will gently takes his father's arm."|speech|IRENA|M
70|I WILL|"Come on, Dad.
8."|speech|I WILL|?
71||INT. WALTER'S ROOM - NIGHT|location||
72|I WILL|Will helps his father change into pajamas.|speech|I WILL|?
73|WILL|"Remember I told you we were using
Basic Fibroblast Growth Factors on
the apes? Well the therapy seems
to be working. We've seen definite
signs of adult brain neurogenesis."|speech|WILL|M
74||Walter holds up his arms for Will to slide on the pajama top.|stage direction||
75||WILL (CONT'D)|location||
76||"Board of Directors is coming in a
couple weeks to talk about Phase 2 -"|stage direction||
77|WILL|"that's clinical trials.
Walter gives no hint he's even listening, much less
understanding what Will's saying."|speech|WILL|M
78|WILL (CONT'D)|Human trials, Dad. Soon.|speech|WILL|M
79|WALTER|"I rather tell that what is to be
feared than what I fear: for
always... I am Caesar...
There's no way to reach him tonight. Still Will tries.."|speech|WALTER|M
80|WILL|"I'm going to make you better - I
swear it.
His father looks at him. A moment of recognition?"|speech|WILL|M
81|WALTER|John... ?|speech|WALTER|M
82|"WILL
(DISAPPOINTED)"|"No, Dad, it's me. Will.
Will helps the old man under the bedcovers."|speech|WILL|M
83|WILL (CONT'D)|John's gone.|speech|WILL|M
84||He moves to the door, pausing to take in the diplomas on the|stage direction||
85|WILL (CONT'D)|"walls - Walter's name on all of them. (Physics, Astronomy.)
9.
Will looks at his father lying there on his back, staring up
at the ceiling. The once brilliant man now slipping away."|speech|WILL|M
86||INT. WILL'S STUDY - LATE NIGHT|location||
87|WILL (CONT'D)|"It's late. Signs of a half-eaten frozen dinner on the desk
beside numerous papers, charts, and Will's computer.
He looks exhausted, gulps from a cup of coffee as he works."|speech|WILL|M
88||INT. PRIMATE LAB - DAY|location||
89|WILL (CONT'D)|Franklin moves from cage to cage, greeting the apes.|speech|WILL|M
90|FRANKLIN|"Good morning, Felix. Bam Bam.
Monty. Hey - what's the matter,
don't like my cooking?
SUPER: TWO WEEKS LATER
He pauses in front of Bright Eyes, huddled at the back of her
cage."|speech|FRANKLIN|M
91|FRANKLIN (CONT'D)|You okay back there?|speech|FRANKLIN|M
92|CAROLINE|Something wrong with Bright Eyes?|speech|CAROLINE|M
93|FRANKLIN|"I'll check on her when we're done.
Franklin unlocks a cage and leads a CHIMP - LUCKY - into the
next room, where Caroline waits beside the CT scanner.
Lucky's head is shaved, exposing a long, curving scar on his
cranium.
From Bright Eyes' vantage point she can see through the open
door as Lucky's strapped down."|speech|FRANKLIN|M
94||EXT. GEN-SYS GROUNDS - SAME|location||
95|FRANKLIN|"Will - dressed in an ill-fitting suit off the rack, hair
brushed in an attempt at neatness - meets STEVEN JACOBS as he
steps from a beautiful BLACK JAGUAR."|speech|FRANKLIN|M
96|JACOBS|"You could at least try to look
excited."|speech|JACOBS|M
97|0|"10.
Will's too nervous to look excited. He eyes the FOUR SUITS
disembarking from nearby TOWN CARS."|speech|0|M
98|WILL|"I'm not good with this stuff.
Jacobs puts a hand on Will's back, leads him inside."|speech|WILL|M
99|JACOBS|"You'll do fine. Just speak
English. Keep the science simple."|speech|JACOBS|M
100||INT. LAB - SAME|location||
101|JACOBS|"From the back of her cage, Bright Eyes watches through the
open door as the ape on the table convulses."|speech|JACOBS|M
102|CAROLINE|Okay. Back it out...|speech|CAROLINE|M
103|DONNIE|"Your turn.
Bright Eyes RUSHES FORWARD, HER HANDS GRIPPING THE BARS SO
DONNIE CAN'T OPEN THE CAGE."|speech|DONNIE|M
104||DONNIE (CONT'D)|location||
105|DONNIE|"C'mon - Let go -
She understands what he wants but she won't do it. THAT'S
WHEN HE NOTICES: HER HANDS ARE BLOODY."|speech|DONNIE|M
106||Hey! Something's wrong with number|stage direction||
107|DONNIE (CONT'D)|"four!
Franklin looks over - he's still dealing with Lucky on the
table..."|speech|DONNIE|M
108|FRANKLIN|"Be right over -
Donnie looks closely at Bright Eyes. There's something
different in her face today. Rage? Force of will?"|speech|FRANKLIN|M
109|DONNIE|What's the matter with you?|speech|DONNIE|M
110||INT. BOARDROOM - SAME|location||
111|DONNIE|"Will stands at the head of a table. A BIG PLASMA SCREEN
behind him shows a BLOW UP OF A BRAIN SCAN. As Will speaks,
he gestures at it with a LASER POINTER.
11."|speech|DONNIE|M
112|"WILL
0
(AWKWARD)"|"Alzheimer's affects the entire
neocortex, the hippocampus, and
large subcortical regions of the
brain..."|speech|WILL0|?
113||INT. LAB - SAME|location||
114|"WILL
0
(AWKWARD)"|"Donnie and Bright Eyes are at a standoff. Once more he tries
to open the cage, once more she yanks it shut.
Again he tries... and is taken by surprise when SHE GRABS HIS
HAND AND PULLS IT THROUGH THE BARS."|speech|WILL0|?
115|DONNIE|"Hey!!!
Now Donnie's smashed up against the bars. Hard. The other
apes begin to SCREECH.
Donnie hasn't panicked quite yet, but he's about to."|speech|DONNIE|M
116|DONNIE (CONT'D)|Someone get her off of me!|speech|DONNIE|M
117|CAROLINE|"Hang on -
Franklin struggles to hold onto Lucky as Caroline hurries
over. He eyes the chimps in their cages - GOING CRAZY."|speech|CAROLINE|M
118||INT. BOARDROOM - DAY|location||
119||Will continues his presentation. Stevens looks around at the|stage direction||
120|CAROLINE|board members - they're lost.|speech|CAROLINE|M
121|WILL|"In the past, it's been impossible
to target specific areas, both
because of the Blood Brain Barrier -
Jacobs stands, interrupting Will."|speech|WILL|M
122|JACOBS|"What Dr. Rodman has done is to
invent a virus that can, for the
first time, cross the membrane that
protects the brain and deliver a
genetic, therapeutic, payload."|speech|JACOBS|M
123|0|12.|speech|0|M
124|WILL|"(trying to sell)
This 'payload' would directly
affect the areas of memory, higher
function - and, of course, the
motherlode: intelligence.
The board members stare, trying to comprehend."|speech|WILL|M
125|BOARD MEMBER|Meaning?|speech|BOARD MEMBER|?
126|WILL|"Meaning.
(deep breath here)
If Phase 2 goes as planned, we're"|speech|WILL|M
127||"looking at a cure for Alzheimer's.
With an elbow prompting from Jacobs, Will takes a SAMPLE VIAL
from his jacket pocket and awkwardly holds it up for dramatic"|stage direction||
128|WILL|effect.|speech|WILL|M
129||"INT. LAB - DAY
DONNIE"|location||
130|WILL|She's breaking my hand!|speech|WILL|M
131|CAROLINE|"Let go, Bright Eyes! You're
hurting him!
She tries to help pull Donnie away."|speech|CAROLINE|M
132|CAROLINE (CONT'D)|"Let go!
In the next room Franklin's having troubles of his own.
LUCKY - RILED UP FROM THE COMMOTION IN BRIGHT EYES' CAGE AND
THE SCREAMING FROM THE OTHER CHIMPS - BREAKS AWAY.
HE CRASHES OUT OF THE LAB, DRAGGING HIS LEASH."|speech|CAROLINE|M
133|FRANKLIN|Lucky no! Stop!|speech|FRANKLIN|M
134|(TO CAROLINE)|"Hit the alarm!
Caroline lunges to an ALARM BUTTON and pounds it.
DONNIE'S SCREAMS BECOME OTHERWORLDLY AS WE GO TO...
13."|speech||
135||INT. LAB SECURITY ROOM - SAME|location||
136|(TO CAROLINE)|"LOUD BEEPING as two GUARDS look to a BLACK AND WHITE SCREEN
of a corridor. They see Lucky dragging his leash as he
scampers - unattended - down the hall."|speech||
137|GUARD #1|"Uh oh.
Guard #2 turns to another screen - where DONNIE IS VISIBLE IN
SILENT AGONY, PUSHED UP AGAINST THE CAGE, CAROLINE TRYING TO
GET HIM FREE."|speech|GUARD #1|?
138|GUARD #2|"Hey, Len...?
Bright eyes is pulling Donnie's arm right from its socket...
Donnie falls to the floor at Caroline's feet..."|speech|GUARD #2|?
139||EXT. GEN-SYS GROUNDS - DAY|location||
140|GUARD #2|"Lucky BURSTS from the lab building and runs across the
grounds. He leaps over a car, then heads for the nearest
building."|speech|GUARD #2|?
141||INT. BOARDROOM - DAY|location||
142|GUARD #2|"The room is still thrumming with the excitement of Will's
pronouncement."|speech|GUARD #2|?
143|BOARD MEMBER|What about the safety of the virus?|speech|BOARD MEMBER|?
144||Perfectly safe. We're using the|stage direction||
145|WILL|"most stable -
A COMMOTION outside. Someone SCREAMS.
Then a BLACK BLUR as LUCKY CRASHES THROUGH THE GLASS WINDOW."|speech|WILL|M
146|WILL (CONT'D)|"NO!
Lucky turns on Will with a growl, lurching toward him and
pinning him to the wall. It happens fast.
The chimpanzee opens his powerful jaw, exposing DEADLY
INCISORS...
• BAM! BAM! BAM! Security Guard #1 SHOOTS LUCKY IN THE BACK.
The chimp turns, leaps for the Guard - who FIRES again.
14.
Will watches as the chimp - and all of Will's dreams -
collapses on the boardroom table."|speech|WILL|M
147||EXT. GEN-SYS GROUNDS - NIGHT|location||
148||Rain and fog. An AMBULANCE pulls out, past POLICE CRUISERS|stage direction||
